NUMERO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
394;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;27/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DO MUNICIPAIS FOLHAS CÓDIGOS: 33,34,35,36, REFERENTE AO MES DE SETEMBRO   2021.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;49.400,58
393;13.2.1.0.04.1.1 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal;30/12/2021;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;2507;CAIXA ECONOMICA FEDERAL;764,47
392;13.2.1.0.04.1.1 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal;30/12/2021;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;2507;CAIXA ECONOMICA FEDERAL;1.660,50
391;13.2.1.0.04.1.1 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal;30/12/2021;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA NA CONTA Nº 26.837-2;268372;BANCO DO BRASIL SA;1.712,78
390;12.1.8.0.12.1.1 - CPSSS do Servidor Civil Inativo - Principal;30/12/2021;Recolhimento da Receita acima, retida na fonte, conforme Pagto de Nota de Empenho nº 240.;2507;2 - INATIVOS;1.969,62
389;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DA SAÚDE, REFERENTE AO MES DE OUTUBRO 2021.;2507;FUNDO MUNICIPAL DE SAÚDE DE CAJAZEIRAS;203,63
388;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DA SAÚDE, REFERENTE AO MES DE OUTUBRO 2021.;2507;FUNDO MUNICIPAL DE SAÚDE DE CAJAZEIRAS;152.740,62
387;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DA SAÚDE, REFERENTE AO MES DE NOVEMBRO 2021.;2507;FUNDO MUNICIPAL DE SAÚDE DE CAJAZEIRAS;154.065,31
386;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DA SAÚDE, REFERENTE AO 13 º SALARIO 2021.;2507;FUNDO MUNICIPAL DE SAÚDE DE CAJAZEIRAS;172.194,07
385;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DO MUNICIPAIS FOLHAS CÓDIGOS: 33,34,35,36, REFERENTE AO MES DE NOVEMBRO  2021.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;49.359,02
384;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DO MUNICIPAIS FOLHAS CÓDIGOS: 33,34,35,36, REFERENTE AO 13º SALARIO  2021.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;60.211,38
383;72.1.8.0.31.1.1 - CPSSS Patronal - Servidor Civil Ativo - Intra-Orçamentária - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL, REFERENTE AO MES DE NOVEMBRO DE 2021.;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;9.831,09
382;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;30/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS SEGURADO DOS SERVIDORES DO MUNICIPAIS FOLHAS CÓDIGOS: 1,2,4,6,7,10,12,26,17,46,41,47,48, REFERENTE AO MES DE NOVEMBRO  2021.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;67.966,15
381;72.1.8.0.31.1.1 - CPSSS Patronal - Servidor Civil Ativo - Intra-Orçamentária - Principal;29/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES DO MES DE JULHO/2021 REF AOS COD.FOLHA:1,2,4,6,7,10,12,26,17,46,47,48;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;34.000,00
380;12.1.8.0.11.1.1 - CPSSS do Servidor Civil Ativo - Principal;29/12/2021;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES DA PREVIDENCIARIAS PARTE-SEGURADO DOS SERVIDORES DO FUNDO DE ASSISTENCIA FOLHAS 5 E 28, REFERENTE AO MES DE NOVEMBRO/2021.;2507;FUNDO DE ASSISTÊNCIA SOCIAL DE CAJAZEIRAS;7.815,99
