NUMERO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
409;11.2.1.0.11.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;29/12/2021;CORRESPONDENTE A RECEITA COM CADASTROS E AUTORIZAÇÃO DE TRANSPORTES.;000000011183X;BANCO DO BRASIL S/A;250
408;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;30/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;8.541,30
407;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;29/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;3.377,60
406;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;28/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;10.211,94
405;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;27/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;11.449,53
404;11.2.1.0.11.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;24/12/2021;CORRESPONDENTE A RECEITA COM CADASTROS E AUTORIZAÇÃO DE TRANSPORTES.;000000011183X;BANCO DO BRASIL S/A;603,6
403;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;24/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;27.787,27
402;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;22/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;11.602,45
401;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;21/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO - RENAINF;000000011183X;BANCO DO BRASIL S/A;11.572,07
400;11.2.1.0.11.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;21/12/2021;CORRESPONDENTE A RECEITA COM CADASTROS E AUTORIZAÇÃO DE TRANSPORTES.;000000011183X;BANCO DO BRASIL S/A;136,6
399;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;21/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;9.691,13
398;19.1.0.0.11.1.1 - Multas Previstas em Legislação Específica - Principal;20/12/2021;CORRESPONDENTE A RECEITA COM MULTAS DE TRANSITO.;000000011183X;BANCO DO BRASIL S/A;9.279,23
397;11.2.1.0.11.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;17/12/2021;CORRESPONDENTE A RECEITA COM CADASTROS E AUTORIZAÇÃO DE TRANSPORTES.;000000011183X;BANCO DO BRASIL S/A;144
