NUMERO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
7233;12.2.1.9.91.1.1 - Outras Contribuições Econômicas ? Não Arrecadadas e Não Projetadas pela RFB - Principal;26/12/2022;Recolhimento da Receita acima, retida na fonte, conforme Pagto de Nota de Empenho nº 2200.;96415;CONSTRUPAV CONSTRUTORA LTDA;7.005,00
7232;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;750;CAIXA ECONOMICA FEDERAL;17,57
7231;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;2831449;BANCO DO BRASIL SA;0,69
7230;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;710340;CAIXA ECONOMICA FEDERAL;73,21
7229;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472602;BANCO DO BRASIL SA;361,94
7228;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO REFERENTE AO MES  06/2022. CONFORME  EXTRATO BANCARIO.;6472629;BANCO DO BRASIL SA;22,2
7227;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472408;CAIXA ECONOMICA FEDERAL;303,53
7226;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472408;CAIXA ECONOMICA FEDERAL;1.398,00
7225;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472408;CAIXA ECONOMICA FEDERAL;578,13
7224;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472360;CAIXA ECONOMICA FEDERAL;2.248,27
7223;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472360;CAIXA ECONOMICA FEDERAL;929,76
7222;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472360;CAIXA ECONOMICA FEDERAL;347,34
7221;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472300;CAIXA ECONOMICA FEDERAL;224,77
7220;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472300;CAIXA ECONOMICA FEDERAL;92,95
7219;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;6472300;CAIXA ECONOMICA FEDERAL;41,5
7218;17.1.4.5.00.1.1 - Transferências do Salário-Educação - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;6720363;CAIXA ECONOMICA FEDERAL;7,27
7217;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;467499;BANCO DO BRASIL SA;25,39
7216;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;452025;BANCO DO BRASIL SA;103,91
7215;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;439959;CAIXA ECONOMICA FEDERAL;8,38
7214;17.1.4.9.90.1.1 - Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;430358;BANCO DO BRASIL SA;60,19
7213;17.1.4.9.90.1.1 - Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;429589;BANCO DO BRASIL SA;0,03
7212;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO.;428515;BANCO DO BRASIL SA;1.545,89
7211;17.1.4.9.90.1.1 - Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;422193;BANCO DO BRASIL SA;474,99
7210;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;419257;BANCO DO BRASIL SA;4,62
7209;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;417750;BANCO DO BRASIL SA;21,2
7208;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;413879;BANCO DO BRASIL SA;30,02
7207;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;397911;BANCO DO BRASIL SA;6.880,95
7206;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO.;368083;BANCO DO BRASIL SA;800,98
7205;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;347167;BANCO DO BRASIL SA;159,55
7204;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;341843;BANCO DO BRASIL SA;1.320,66
7203;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENT AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;332364;BANCO DO BRASIL SA;0,12
7202;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;331082;BANCO DO BRASIL SA;178,27
7201;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;310506;BANCO DO BRASIL SA;356,78
7200;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;246948;BANCO DO BRASIL SA;3,57
7199;24.1.4.9.90.1.1 - Outras Transferências de Convênios da União e de Suas Entidades - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;232424;BANCO DO BRASIL SA;0,01
7198;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;196134;BANCO DO BRASIL SA;1,52
7197;24.1.2.5.01.1.1 - Transferências para o Programa de Apoio ao Transporte Escolar para Educação Básica - CAMINHO DA ESCOLA - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;171816;BANCO DO BRASIL SA;0,01
7196;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;168599;BANCO DO BRASIL SA;32,1
7195;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;163341;BANCO DO BRASIL SA;6.893,54
7194;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;163228;BANCO DO BRASIL SA;2,87
7193;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;0;BANCO DO BRASIL SA;412,55
7192;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;153850;BANCO DO BRASIL SA;0,63
7191;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;150665;BANCO DO BRASIL SA;1,46
7190;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;126772;BANCO DO BRASIL SA;6
7189;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;124168;BANCO DO BRASIL SA;69,96
7188;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;103349;BANCO DO BRASIL SA;2,65
7187;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTOS BANCÁRIOS;103314;BANCO DO BRASIL SA;0,01
7186;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;98647;BANCO DO BRASIL SA;4,85
7185;11.1.4.5.11.1.1 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;09/12/2022;Ref. a receita de Imposto sobre Serviços de Qualquer Natureza - Principal, conforme extrato bancario, EM 09/12/2022 (DOC/TED).;39659;ENERGISA PARAIBA DIST. DE ENEGIA SA;2.587,88
7184;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;96407;BANCO DO BRASIL SA;7,94
7183;11.1.4.5.11.1.1 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;09/12/2022;Ref. a receita de Imposto sobre Serviços de Qualquer Natureza - Principal, conforme extrato bancario, EM 09/12/2022 (DOC/TED).;39659;ENERGISA PARAIBA DIST. DE ENEGIA SA;27.689,10
7182;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;90344;BANCO DO BRASIL SA;2,09
7181;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;84360;BANCO DO BRASIL SA;0,21
7180;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;81817;BANCO DO BRASIL SA;15,51
7179;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;81779;BANCO DO BRASIL SA;24,46
7178;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;81760;BANCO DO BRASIL SA;16,78
7177;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;710331;CAIXA ECONOMICA FEDERAL;2,97
7176;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;710277;CAIXA ECONOMICA FEDERAL;24,64
7175;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;710250;CAIXA ECONOMICA FEDERAL;24,88
7174;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;56618;BANCO DO BRASIL SA;2,56
7173;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;50865;BANCO DO BRASIL SA;9,21
7172;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;000000012852X;BANCO DO BRASIL SA;32,84
7171;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;000000012365X;BANCO DO BRASIL SA;9,22
7170;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;3074;BANCO DO BRASIL SA;5,14
7169;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;10154;BANCO DO BRASIL SA;0,42
7168;11.1.4.5.11.1.1 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;30/12/2022;Ref. a receita de Imposto sobre Serviços de Qualquer Natureza - Principal, conforme extrato bancario (Diversos Contribuintes). no  periodo  de  08/12/200 a  26/12/2022;11436;BANCO DO BRASIL S.A;1.053,35
7167;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;PROVENIENTE AO RENDIMENTO DA APLICAÇÃO FINANCEIRA;11436;BANCO DO BRASIL SA;261,83
7166;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;733;CAIXA ECONOMICA FEDERAL;559,89
7165;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;39659;BANCO DO BRASIL SA;1.003,36
7164;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;39659;BANCO DO BRASIL SA;0,19
7163;11.1.4.5.11.1.1 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;15/12/2022;Ref. a receita de Imposto sobre Serviços de Qualquer Natureza - Principal - contribuintes diversos.;1357;CAIXA ECONOMICA FEDERAL;758,97
7162;11.1.4.5.11.1.1 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;13/12/2022;Ref. a receita de Imposto sobre Serviços de Qualquer Natureza - Principal - contribuintes diversos.;1357;CAIXA ECONOMICA FEDERAL;116,77
7161;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;1357;CAIXA ECONOMICA FEDERAL;1.088,54
7160;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;50261;BANCO DO BRASIL SA;0,65
7159;19.2.2.9.90.1.1 - Outras Restituições - Principal;30/12/2022;Referente a Outras Restituições - Principal, relativo a diferença Duodécimo. Conforme extrato bancário, em 30/12/2022 .;40193;BANCO DO BRASIL SA;9,47
7158;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DE APLICAÇÃO;40193;BANCO DO BRASIL SA;0,64
7157;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;RENDIMENTO DAS CONTAS DE APLICAÇÕES.;1918;CAIXA ECONOMICA FEDERAL;17,64
7156;19.2.2.9.90.1.1 - Outras Restituições - Principal;16/12/2022;Ref. a Outras Restituições para pagamento de honorários dos  procuradores do municipio conforme  extrato bancario em 16/12/2022.;1918;FUNDO MUNICIPAL DE SAUDE DE CAJAZEIRAS;1.662,48
7155;19.2.2.9.90.1.1 - Outras Restituições - Principal;15/12/2022;Ref. a Outras Restituições para pagamento de honorários dos  procuradores do municipio conforme  extrato bancario em 15/12/2022.;1918;FUNDO MUNICIPAL DE SAUDE DE CAJAZEIRAS;596
7154;12.2.1.9.91.1.1 - Outras Contribuições Econômicas ? Não Arrecadadas e Não Projetadas pela RFB - Principal;23/12/2022;Ref. a Outras Contribuições Econômicas - EMPREENDER (contribuintes diversos), relativo AOS EMPENHOS 1797, 1798, 1799, 1800 E 1802/2022, conforme extrato bancário, em 23/12/2022.;733;FUNDO MUNICIPAL DE SAUDE DE CAJAZEIRAS;2.463,21
