CODIGO;RECEITA;DATA;FORNECEDOR;VALOR;TIPO
122199111 ; Outras Contribuições Econômicas ? Não Arrecadadas e Não Projetadas pela RFB - Principal;26/12/2022;CONSTRUPAV CONSTRUTORA LTDA;7005.00;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;17.57;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;0.69;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;73.21;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;361.94;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;22.2;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;303.53;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;1398.00;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;578.13;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;2248.27;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;929.76;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;347.34;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;224.77;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;92.95;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;41.5;1
171450011 ; Transferências do Salário-Educação - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;7.27;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;25.39;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;103.91;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;CAIXA ECONOMICA FEDERAL;8.38;1
171499011 ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;BANCO DO BRASIL SA;60.19;1
171499011 ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;BANCO DO BRASIL SA;0.03;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;1545.89;1
171499011 ; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal;30/12/2022;BANCO DO BRASIL SA;474.99;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;4.62;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;21.2;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;30.02;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;6880.95;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;800.98;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;159.55;1
132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;BANCO DO BRASIL SA;1320.66;1
