NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
244;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 ; Pensões do RPPS e do militar;05/01/2022;27418.22;27418.22;27418.22;0
243;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 ; Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;05/01/2022;2529.13;2529.13;2529.13;0
242;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 ; Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;05/01/2022;45492.00;45492.00;45492.00;0
241;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 ; Pensões do RPPS e do militar;05/01/2022;134818.14;134818.14;133718.14;1100.00
240;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 ; Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;05/01/2022;1250505.86;1250505.86;1247205.86;3300.00
239;30/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;05/01/2022;18100.00;18100.00;18100.00;0
238;27/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2021;2500.00;2500.00;2500.00;0
237;27/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/12/2021;131.61;131.61;131.61;0
236;27/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/12/2021;170;170;170;0
235;15/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2021;3000.00;3000.00;3000.00;0
234;15/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2021;3000.00;3000.00;3000.00;0
233;15/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2021;3000.00;3000.00;3000.00;0
232;10/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319013 ; Obrigações Patronais;14/12/2021;5401.00;5401.00;5401.00;0
231;10/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2021;2500.00;2500.00;2500.00;0
230;09/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;449052 ; Equipamentos e Material Permanente;10/12/2021;760;760;760;0
226;08/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;449052 ; Equipamentos e Material Permanente;10/12/2021;4440.00;4440.00;4440.00;0
228;07/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319013 ; Obrigações Patronais;10/12/2021;5334.16;5334.16;5334.16;0
229;02/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;339030 ; Material de Consumo;10/12/2021;80;80;80;0
227;01/12/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;449052 ; Equipamentos e Material Permanente;10/12/2021;4700.00;4700.00;4700.00;0
215;29/11/2021;02031; Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 ; Pensões do RPPS e do militar;06/12/2021;27418.22;27418.22;27418.22;0
