NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
40390;31/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0
40385;31/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;11/01/2022;17820.00;17820.00;17820.00;0
40384;31/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;11/01/2022;24525.03;24525.03;24525.03;0
40383;31/12/2021;02140; Fundo Municipal de Assistência Social;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;61859.51;61859.51;61859.51;0
5704;31/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;6500.00;6500.00;6500.00;0
5703;31/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;16389.58;16389.58;16389.58;0
40394;30/12/2021;02140; Fundo Municipal de Assistência Social;339030 ; Material de Consumo;13/01/2022;2060.00;2060.00;2060.00;0
40393;30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;51778.07;51778.07;51778.07;0
40392;30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;16616.03;16616.03;16616.03;0
40391;30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;24566.91;24566.91;24566.91;0
40389;30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0
40388;30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0
40387;30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;42.11;42.11;42.11;0
32186;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;13/01/2022;400;400;400;0
32185;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;13/01/2022;600;600;600;0
32184;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;07/01/2022;31.35;31.35;31.35;0
32183;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;06/01/2022;400;400;0;400
32182;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74
32181;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;1330.88;1330.88;0;1330.88
32180;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;357.2;357.2;0;357.2
32179;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;38;38;0;38
32178;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74
32177;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7
32176;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7
32175;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;154.84;154.84;0;154.84
32174;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7
32173;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7
32172;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;1158.96;1158.96;0;1158.96
32171;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74
32170;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;2117.80;2117.80;0;2117.80
32169;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;10.45;10.45;10.45;0
32168;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;20.9;20.9;20.9;0
32167;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;20.9;20.9;20.9;0
32166;30/12/2021;02130; Fundo Municipal de Saúde;335041 ; Contribuições;04/01/2022;6000.00;6000.00;6000.00;0
32165;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1800.00;1800.00;0;1800.00
32164;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1800.00;1800.00;1800.00;0
32163;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;03/01/2022;3500.00;3500.00;0;3500.00
32162;30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;03/01/2022;3500.00;3500.00;3500.00;0
32161;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0
32160;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;0;1500.00
32159;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0
32158;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0
32157;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;2500.00;2500.00;2500.00;0
32156;30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;2050.00;2050.00;2050.00;0
32155;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;49404.50;49404.50;0;49404.50
32154;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;390;390;0;390
32153;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;7060.00;7060.00;0;7060.00
32152;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;116871.94;116871.94;0;116871.94
32151;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;84743.36;84743.36;0;84743.36
32150;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;98331.27;98331.27;0;98331.27
32149;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;217880.33;217880.33;0;217880.33
32148;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;224368.81;224368.81;0;224368.81
32147;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;5332.37;5332.37;0;5332.37
32146;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;35.48;35.48;0;35.48
32145;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;8239.00;8239.00;0;8239.00
32144;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;74.19;74.19;0;74.19
32143;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;1613.44;1613.44;0;1613.44
32142;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;42705.72;42705.72;0;42705.72
32141;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;36466.10;36466.10;0;36466.10
32140;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;12035.48;12035.48;0;12035.48
32139;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;390.28;390.28;0;390.28
32138;30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;14856.84;14856.84;0;14856.84
32137;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;7927.68;7927.68;0;7927.68
32136;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;9133.38;9133.38;0;9133.38
32135;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;9151.65;9151.65;0;9151.65
32134;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;6709.46;6709.46;0;6709.46
32133;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;169730.26;169730.26;0;169730.26
32132;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;19072.30;19072.30;0;19072.30
32131;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;22163.78;22163.78;0;22163.78
32130;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;27325.29;27325.29;0;27325.29
32129;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;547845.83;547845.83;0;547845.83
32128;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;41677.20;41677.20;0;41677.20
32127;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;382500.36;382500.36;0;382500.36
32126;30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;34740.87;34740.87;0;34740.87
5708;30/12/2021;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;13/01/2022;258166.19;258166.19;258166.19;0
5706;30/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;13/01/2022;27941.07;27941.07;27941.07;0
5705;30/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;13/01/2022;46862.00;46862.00;46862.00;0
5702;30/12/2021;02110; Secretaria Municipal de Juventude, Esporte e Turismo;335041 ; Contribuições;11/01/2022;12700.00;0;0;12700.00
5701;30/12/2021;02090; Secretaria Municipal de Educação;339030 ; Material de Consumo;11/01/2022;2702.72;0;2702.72;0
5699;30/12/2021;02020; Procuradoria Geral do Município;339091 ; Sentenças Judiciais;11/01/2022;90;90;90;0
5691;30/12/2021;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;07/01/2022;7109.97;7109.97;0;7109.97
5690;30/12/2021;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;07/01/2022;254723.36;254723.36;0;254723.36
5682;30/12/2021;02040; Secretaria Municipal da Fazenda Pública;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;06/01/2022;6.91;6.91;6.91;0
