NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
595;30/12/2021;02011; Superintendência Cajazeirense de Trânsito;339035 ; Serviços de Consultoria;04/01/2022;2500.00;2500.00;2500.00;0
594;30/12/2021;02011; Superintendência Cajazeirense de Trânsito;319113 ; Contribuições Patronais;04/01/2022;9831.09;9831.09;9831.09;0
593;29/12/2021;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;04/01/2022;8374.70;8374.70;8374.70;0
592;29/12/2021;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;04/01/2022;4143.50;4143.50;4143.50;0
591;29/12/2021;02011; Superintendência Cajazeirense de Trânsito;319113 ; Contribuições Patronais;04/01/2022;18128.65;18128.65;18128.65;0
590;28/12/2021;02011; Superintendência Cajazeirense de Trânsito;319113 ; Contribuições Patronais;04/01/2022;20409.00;20409.00;20409.00;0
589;28/12/2021;02011; Superintendência Cajazeirense de Trânsito;469171 ; Principal da Dívida Contratual Resgatada;04/01/2022;521.71;521.71;521.71;0
588;28/12/2021;02011; Superintendência Cajazeirense de Trânsito;339035 ; Serviços de Consultoria;04/01/2022;2500.00;2500.00;2500.00;0
587;27/12/2021;02011; Superintendência Cajazeirense de Trânsito;319113 ; Contribuições Patronais;28/12/2021;19642.83;19642.83;19642.83;0
586;27/12/2021;02011; Superintendência Cajazeirense de Trânsito;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2021;63162.02;63162.02;63162.02;0
585;27/12/2021;02011; Superintendência Cajazeirense de Trânsito;339035 ; Serviços de Consultoria;27/12/2021;1400.00;1400.00;1400.00;0
584;27/12/2021;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;27/12/2021;1715.29;1715.29;1715.29;0
583;27/12/2021;02011; Superintendência Cajazeirense de Trânsito;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2021;20793.55;20793.55;20793.55;0
582;23/12/2021;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;27/12/2021;10850.00;10850.00;10850.00;0
581;23/12/2021;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;27/12/2021;13129.86;13129.86;13129.86;0
