NUMERO;DATA;ORGAO;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
2277;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;22.970,00;22.970,00;0;22.970,00
2276;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;3.842,60;0;0;3.842,60
2275;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;17.920,75;0;0;17.920,75
2274;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;23.333,43;0;0;23.333,43
2273;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;25.673,02;0;0;25.673,02
2272;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;52.885,46;0;0;52.885,46
2271;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;2.158,44;0;0;2.158,44
2270;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;14.985,28;0;0;14.985,28
2269;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;18.963,73;0;0;18.963,73
2268;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;20.468,78;0;0;20.468,78
2267;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;24/02/2023;46.025,46;0;0;46.025,46
2266;30/12/2022;02130 - Fundo Municipal de Saúde;339040 - SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;24/02/2023;3.625,00;3.625,00;0;3.625,00
2265;30/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;24/02/2023;25.194,95;25.194,95;0;25.194,95
2264;30/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;22;22;22;0
2263;30/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;11;11;11;0
2262;30/12/2022;02130 - Fundo Municipal de Saúde;335041 - Contribuições;09/01/2023;30.000,00;30.000,00;30.000,00;0
2261;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;09/01/2023;1.300,00;1.300,00;1.300,00;0
2260;30/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;09/01/2023;23.500,00;23.500,00;23.500,00;0
2259;27/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;29/12/2022;3.002,44;0;0;3.002,44
2258;27/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;7.852,00;7.852,00;7.852,00;0
2257;26/12/2022;02130 - Fundo Municipal de Saúde;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;707,54;707,54;707,54;0
2256;26/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;29/12/2022;23.946,00;23.946,00;23.946,00;0
2255;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;815.863,86;815.863,86;0;815.863,86
2254;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;6.365,80;6.365,80;0;6.365,80
2253;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;2.000,00;2.000,00;0;2.000,00
2252;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;7.629,00;7.629,00;0;7.629,00
2251;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;134.722,65;134.722,65;0;134.722,65
2250;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;114.826,96;114.826,96;0;114.826,96
2249;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;1.500,00;1.500,00;0;1.500,00
2248;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;60.259,48;60.259,48;0;60.259,48
2247;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;188.526,56;188.526,56;0;188.526,56
2246;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;49.454,72;49.454,72;0;49.454,72
2245;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;20.830,00;20.830,00;0;20.830,00
2244;26/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;29/12/2022;104.708,08;104.708,08;104.708,08;0
2243;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;72.434,98;72.434,98;0;72.434,98
2242;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;5.762,00;5.762,00;0;5.762,00
2241;26/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;29/12/2022;1.524,00;1.524,00;1.524,00;0
2240;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;13.936,13;13.936,13;0;13.936,13
2239;26/12/2022;02130 - Fundo Municipal de Saúde;319004 - Contratação por Tempo Determinado;29/12/2022;111.226,52;111.226,52;0;111.226,52
2238;26/12/2022;02130 - Fundo Municipal de Saúde;339030 - Material de Consumo;29/12/2022;3.840,00;3.840,00;3.840,00;0
2237;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;23.023,73;23.023,73;0;23.023,73
2236;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;72.228,35;72.228,35;0;72.228,35
2235;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;42.305,59;42.305,59;0;42.305,59
2234;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;43.966,44;43.966,44;43.966,44;0
2233;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;64.126,96;64.126,96;64.126,96;0
2232;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;149.491,52;149.491,52;0;149.491,52
2231;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;36.087,99;36.087,99;0;36.087,99
2230;26/12/2022;02130 - Fundo Municipal de Saúde;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;11.651,50;11.651,50;0;11.651,50
