NUMERO;DATA;ORGAO;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
254;29/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;09/01/2023;30.130,92;30.130,92;30.130,92;0
253;29/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;09/01/2023;2.786,33;2.786,33;2.786,33;0
252;29/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;09/01/2023;49.602,40;49.602,40;49.602,40;0
251;29/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;09/01/2023;168.747,17;168.747,17;167.535,17;1.212,00
250;29/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;09/01/2023;1.646.200,71;1.646.200,71;1.643.776,71;2.424,00
249;27/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339014 - Diárias - Civil;29/12/2022;640;640;640;0
248;22/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;28.866,00;28.866,00;28.866,00;0
246;20/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2022;3.000,00;3.000,00;3.000,00;0
245;20/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2022;3.000,00;3.000,00;3.000,00;0
247;19/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;20/12/2022;4.500,00;4.500,00;4.500,00;0
244;16/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319013 - Obrigações Patronais;19/12/2022;6.735,71;6.735,71;6.735,71;0
243;16/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339014 - Diárias - Civil;16/12/2022;320;320;320;0
242;16/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319013 - Obrigações Patronais;16/12/2022;5.403,20;5.403,20;5.403,20;0
241;01/12/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;14/12/2022;3.000,00;2.232,58;2.232,58;767,42
240;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;69,58;69,58;69,58;0
239;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;3.514,30;3.514,30;3.514,30;0
238;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;153,78;153,78;153,78;0
237;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;22;22;22;0
236;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;1.008,05;1.008,05;1.008,05;0
235;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;3.000,00;0;0;3.000,00
234;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339030 - Material de Consumo;24/02/2023;326,43;0;0;326,43
233;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339030 - Material de Consumo;24/02/2023;147,65;0;0;147,65
232;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;24/02/2023;820;0;0;820
231;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;24/02/2023;818.947,51;818.947,51;813.180,12;5.767,39
230;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;24/02/2023;83.969,50;83.969,50;83.363,50;606
229;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;30.616,83;30.616,83;30.616,83;0
228;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;01/12/2022;15.065,43;15.065,43;15.065,43;0
227;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;01/12/2022;1.393,16;1.393,16;1.393,16;0
226;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;01/12/2022;24.801,20;24.801,20;24.801,20;0
225;30/11/2022;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;01/12/2022;1.646.721,87;1.646.721,87;1.644.297,87;2.424,00
