NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
476;26/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;950;950;950;0
475;26/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;2500.00;2500.00;2500.00;0
474;26/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;2000.00;2000.00;2000.00;0
473;26/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;1200.00;1200.00;1200.00;0
472;21/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;178.44;178.44;178.44;0
471;21/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;1815.74;1815.74;1815.74;0
470;21/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;2500.00;2500.00;2500.00;0
469;20/12/2022;01010; Câmara Municipal;319013 ; Obrigações Patronais;26/12/2022;55546.75;55546.75;55546.75;0
468;20/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;26/12/2022;4000.00;4000.00;4000.00;0
467;20/12/2022;01010; Câmara Municipal;339035 ; Serviços de Consultoria;26/12/2022;3700.00;3700.00;3700.00;0
466;20/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;26/12/2022;1500.00;1500.00;1500.00;0
465;20/12/2022;01010; Câmara Municipal;319113 ; Contribuições Patronais;26/12/2022;7963.25;7963.25;7963.25;0
464;20/12/2022;01010; Câmara Municipal;319113 ; Contribuições Patronais;26/12/2022;8644.56;8644.56;8644.56;0
463;20/12/2022;01010; Câmara Municipal;319013 ; Obrigações Patronais;26/12/2022;54025.57;54025.57;54025.57;0
462;20/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;26/12/2022;4200.00;0;0;0
461;20/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;26/12/2022;7000.00;7000.00;7000.00;0
460;19/12/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;20/12/2022;31800.00;31800.00;31800.00;0
459;19/12/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;19/12/2022;54540.00;54540.00;54540.00;0
458;19/12/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;19/12/2022;23203.63;23203.63;23203.63;0
457;19/12/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;19/12/2022;24094.56;24094.56;24094.56;0
456;19/12/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;19/12/2022;154920.00;154920.00;154920.00;0
455;02/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;06/12/2022;1166.00;1166.00;1166.00;0
454;01/12/2022;01010; Câmara Municipal;339030 ; Material de Consumo;05/12/2022;3013.60;3013.60;3013.60;0
453;01/12/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/12/2022;1400.00;1400.00;1400.00;0
452;01/12/2022;01010; Câmara Municipal;339030 ; Material de Consumo;05/12/2022;3056.50;3056.50;3056.50;0
451;01/12/2022;01010; Câmara Municipal;339030 ; Material de Consumo;05/12/2022;2931.97;2931.97;2931.97;0
450;01/12/2022;01010; Câmara Municipal;339030 ; Material de Consumo;05/12/2022;1010.00;1010.00;1010.00;0
449;01/12/2022;01010; Câmara Municipal;339030 ; Material de Consumo;05/12/2022;1010.00;1010.00;1010.00;0
448;29/11/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;15549.00;15549.00;15549.00;0
447;29/11/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;27169.00;27169.00;27169.00;0
446;29/11/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;11350.00;11350.00;11350.00;0
445;29/11/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;13094.16;13094.16;13094.16;0
444;29/11/2022;01010; Câmara Municipal;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;01/12/2022;77460.00;77460.00;77460.00;0
443;23/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;900;900;900;0
442;23/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;950;950;950;0
441;23/11/2022;01010; Câmara Municipal;339035 ; Serviços de Consultoria;28/11/2022;4800.00;4800.00;4800.00;0
440;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;2500.00;2500.00;2500.00;0
439;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;95.34;95.34;95.34;0
438;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;1817.35;1817.35;1817.35;0
437;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;28/11/2022;178.44;178.44;178.44;0
436;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;1500.00;1500.00;1500.00;0
435;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;1500.00;1500.00;1500.00;0
434;22/11/2022;01010; Câmara Municipal;339040 ; SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;24/11/2022;1650.00;1650.00;1650.00;0
433;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;1200.00;1200.00;1200.00;0
432;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;2500.00;2500.00;2500.00;0
431;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;4000.00;4000.00;4000.00;0
430;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;3500.00;3500.00;3500.00;0
429;22/11/2022;01010; Câmara Municipal;339035 ; Serviços de Consultoria;24/11/2022;3700.00;3700.00;3700.00;0
428;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;2000.00;2000.00;2000.00;0
427;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;1400.00;1400.00;1400.00;0
426;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;800;800;800;0
425;22/11/2022;01010; Câmara Municipal;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;24/11/2022;900;900;900;0
424;21/11/2022;01010; Câmara Municipal;319013 ; Obrigações Patronais;22/11/2022;57174.23;57174.23;57174.23;0
