NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
2277;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;22970.00;22970.00;0;22970.00
2276;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;3842.60;0;0;3842.60
2275;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;17920.75;0;0;17920.75
2274;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;23333.43;0;0;23333.43
2273;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;25673.02;0;0;25673.02
2272;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;52885.46;0;0;52885.46
2271;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;2158.44;0;0;2158.44
2270;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;14985.28;0;0;14985.28
2269;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;18963.73;0;0;18963.73
2268;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;20468.78;0;0;20468.78
2267;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;24/02/2023;46025.46;0;0;46025.46
2266;30/12/2022;02130; Fundo Municipal de Saúde;339040 ; SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;24/02/2023;3625.00;3625.00;0;3625.00
2265;30/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;24/02/2023;25194.95;25194.95;0;25194.95
2264;30/12/2022;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;22;22;22;0
2263;30/12/2022;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;11;11;11;0
2262;30/12/2022;02130; Fundo Municipal de Saúde;335041 ; Contribuições;09/01/2023;30000.00;30000.00;30000.00;0
2261;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;09/01/2023;1300.00;1300.00;1300.00;0
2260;30/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;09/01/2023;23500.00;23500.00;23500.00;0
2259;27/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;29/12/2022;3002.44;0;0;3002.44
2258;27/12/2022;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;7852.00;7852.00;7852.00;0
2257;26/12/2022;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;29/12/2022;707.54;707.54;707.54;0
2256;26/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;29/12/2022;23946.00;23946.00;23946.00;0
2255;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;815863.86;815863.86;0;815863.86
2254;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;6365.80;6365.80;0;6365.80
2253;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;2000.00;2000.00;0;2000.00
2252;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;7629.00;7629.00;0;7629.00
2251;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;134722.65;134722.65;0;134722.65
2250;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;114826.96;114826.96;0;114826.96
2249;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;1500.00;1500.00;0;1500.00
2248;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;60259.48;60259.48;0;60259.48
2247;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;188526.56;188526.56;0;188526.56
2246;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;49454.72;49454.72;0;49454.72
2245;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;20830.00;20830.00;0;20830.00
2244;26/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;29/12/2022;104708.08;104708.08;104708.08;0
2243;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;72434.98;72434.98;0;72434.98
2242;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;5762.00;5762.00;0;5762.00
2241;26/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;29/12/2022;1524.00;1524.00;1524.00;0
2240;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;13936.13;13936.13;0;13936.13
2239;26/12/2022;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;29/12/2022;111226.52;111226.52;0;111226.52
2238;26/12/2022;02130; Fundo Municipal de Saúde;339030 ; Material de Consumo;29/12/2022;3840.00;3840.00;3840.00;0
2237;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;23023.73;23023.73;0;23023.73
2236;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;29/12/2022;72228.35;72228.35;0;72228.35
2235;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;42305.59;42305.59;0;42305.59
2234;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;43966.44;43966.44;43966.44;0
2233;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;64126.96;64126.96;64126.96;0
2232;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;149491.52;149491.52;0;149491.52
2231;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;36087.99;36087.99;0;36087.99
2230;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;11651.50;11651.50;0;11651.50
2229;26/12/2022;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;27/12/2022;218919.03;218919.03;0;218919.03
2228;26/12/2022;02130; Fundo Municipal de Saúde;449052 ; Equipamentos e Material Permanente;27/12/2022;301800.00;0;0;301800.00
