NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
40509;29/12/2022;02140; Fundo Municipal de Assistência Social;339030 ; Material de Consumo;09/01/2023;9538.85;0;0;9538.85
40508;29/12/2022;02140; Fundo Municipal de Assistência Social;339030 ; Material de Consumo;09/01/2023;8010.40;0;0;8010.40
7521;29/12/2022;02040; Secretaria Municipal da Fazenda Pública;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;166.36;166.36;166.36;0
7520;29/12/2022;02090; Secretaria Municipal de Educação;449052 ; Equipamentos e Material Permanente;09/01/2023;63000.00;0;0;63000.00
7519;29/12/2022;02090; Secretaria Municipal de Educação;339030 ; Material de Consumo;09/01/2023;3640.80;0;3640.80;0
7516;29/12/2022;02160; Secretaria Municipal de Desenvolvimento Humano;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;100;100;100;0
7515;29/12/2022;02020; Procuradoria Geral do Município;469091 ; Sentenças Judiciais;09/01/2023;540615.96;540615.96;540615.96;0
7514;29/12/2022;02040; Secretaria Municipal da Fazenda Pública;339040 ; SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;09/01/2023;1600.00;0;0;1600.00
7508;29/12/2022;02160; Secretaria Municipal de Desenvolvimento Humano;339048 ; Outros Auxílios Financeiros a Pessoas Físicas;09/01/2023;300;300;300;0
7506;29/12/2022;02040; Secretaria Municipal da Fazenda Pública;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;09/01/2023;1400.00;1400.00;0;1400.00
7505;29/12/2022;02090; Secretaria Municipal de Educação;319113 ; Contribuições Patronais;09/01/2023;98000.00;98000.00;98000.00;0
7504;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;19650.55;19650.55;19650.55;0
7503;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;934387.32;934387.32;934387.32;0
7502;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;24750.57;24750.57;24750.57;0
7501;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;1051973.13;1051973.13;1051973.13;0
7500;29/12/2022;02090; Secretaria Municipal de Educação;319004 ; Contratação por Tempo Determinado;09/01/2023;21384.82;21384.82;21384.82;0
7499;29/12/2022;02090; Secretaria Municipal de Educação;319004 ; Contratação por Tempo Determinado;09/01/2023;46709.78;46709.78;46709.78;0
7498;29/12/2022;02090; Secretaria Municipal de Educação;319004 ; Contratação por Tempo Determinado;09/01/2023;25480.39;25480.39;25480.39;0
7497;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;196469.10;196469.10;196469.10;0
7496;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;213347.10;213347.10;213347.10;0
7495;29/12/2022;02090; Secretaria Municipal de Educação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;68100.46;68100.46;68100.46;0
7494;29/12/2022;02150; Secretaria Municipal de Comunicação;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;3950.85;3950.85;3950.85;0
7493;29/12/2022;02080; Secretaria Municipal de Políticas Públicas;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;09/01/2023;2157.36;2157.36;2157.36;0
