ORGAO_INTERNO;COD_TIPO;TIPO;COD_SUBELEMENTO;SUBELEMENTO
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9775;subsidios - agentes politicos - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;339039;outros servicos de terceiros - pessoa juridica;4943;servicos de energia eletrica
camara municipal;339039;outros servicos de terceiros - pessoa juridica;5044;servicos de agua e esgoto
camara municipal;339040;servicos de tecnologia da informacao e comunicacao;9914;telefonia fixa e movel - pacote de comunicacao de dados
camara municipal;339030;material de consumo;716;material de expediente
camara municipal;339030;material de consumo;299;generos de alimentacao
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;339030;material de consumo;817;material de processamento de dados
camara municipal;339040;servicos de tecnologia da informacao e comunicacao;9999;outros servicos de tic
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;339092;despesas de exercicios anteriores;9999;outras despesas de exercicios anteriores
camara municipal;319013;obrigacoes patronais;9902;contribuicoes previdenciarias - inss
camara municipal;319113;contribuicoes patronais;9908;contribuicoes previdenciarias - rpps - ativo
camara municipal;339039;outros servicos de terceiros - pessoa juridica;5799;servicos bancarios
camara municipal;339035;servicos de consultoria;9900;servicos de consultoria
camara municipal;339036;outros servicos de terceiros - pessoa fisica;2099;servicos tecnicos profissionais
camara municipal;339039;outros servicos de terceiros - pessoa juridica;5799;servicos bancarios
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;339014;diarias - civil;9900;diarias - civil
camara municipal;339014;diarias - civil;9900;diarias - civil
camara municipal;339014;diarias - civil;9900;diarias - civil
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;339040;servicos de tecnologia da informacao e comunicacao;9999;outros servicos de tic
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
camara municipal;449052;equipamentos e material permanente;8099;outros materiais permanentes
camara municipal;339040;servicos de tecnologia da informacao e comunicacao;9901;locacao de equipamentos e softwares
camara municipal;339040;servicos de tecnologia da informacao e comunicacao;9901;locacao de equipamentos e softwares
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9775;subsidios - agentes politicos - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;319011;vencimentos e vantagens fixas - pessoal civil;9701;vencimentos e salarios - vinculado ao inss
camara municipal;339092;despesas de exercicios anteriores;9950;multas e juros
camara municipal;339039;outros servicos de terceiros - pessoa juridica;5890;servicos de publicidade e propaganda
camara municipal;339039;outros servicos de terceiros - pessoa juridica;4099;manutencao de software
camara municipal;339039;outros servicos de terceiros - pessoa juridica;4517;manutencao e conservacao de maquinas e equipamentos
camara municipal;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
camara municipal;449052;equipamentos e material permanente;7099;equipamentos de processamento de dados
