DATA;ANO;MES;DIA;TRIMESTRE;COD_TRIMESTRE;SEMESTRE;COD_SEMESTRE
2013-01-03;2013.0;janeiro;3.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-04;2013.0;janeiro;4.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-07;2013.0;janeiro;7.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-08;2013.0;janeiro;8.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-15;2013.0;janeiro;15.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-10;2013.0;janeiro;10.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-29;2013.0;janeiro;29.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-18;2013.0;janeiro;18.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-30;2013.0;janeiro;30.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-31;2013.0;janeiro;31.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-28;2013.0;janeiro;28.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-09;2013.0;janeiro;9.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-11;2013.0;janeiro;11.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-14;2013.0;janeiro;14.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-16;2013.0;janeiro;16.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-17;2013.0;janeiro;17.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-21;2013.0;janeiro;21.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-22;2013.0;janeiro;22.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-24;2013.0;janeiro;24.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-25;2013.0;janeiro;25.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-02;2013.0;janeiro;2.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-01-23;2013.0;janeiro;23.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-08;2013.0;fevereiro;8.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-20;2013.0;fevereiro;20.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-28;2013.0;fevereiro;28.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-04;2013.0;fevereiro;4.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-05;2013.0;fevereiro;5.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-06;2013.0;fevereiro;6.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-07;2013.0;fevereiro;7.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-13;2013.0;fevereiro;13.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-14;2013.0;fevereiro;14.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-15;2013.0;fevereiro;15.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-18;2013.0;fevereiro;18.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-19;2013.0;fevereiro;19.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-21;2013.0;fevereiro;21.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-25;2013.0;fevereiro;25.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-26;2013.0;fevereiro;26.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-01;2013.0;fevereiro;1.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-22;2013.0;fevereiro;22.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-02-27;2013.0;fevereiro;27.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-08;2013.0;março;8.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-20;2013.0;março;20.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-28;2013.0;março;28.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-31;2013.0;março;31.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-01;2013.0;março;1.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-04;2013.0;março;4.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-05;2013.0;março;5.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-06;2013.0;março;6.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-07;2013.0;março;7.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-11;2013.0;março;11.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-12;2013.0;março;12.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-13;2013.0;março;13.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-14;2013.0;março;14.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-15;2013.0;março;15.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-18;2013.0;março;18.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-19;2013.0;março;19.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-21;2013.0;março;21.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-22;2013.0;março;22.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-26;2013.0;março;26.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-25;2013.0;março;25.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-03-27;2013.0;março;27.0;primeiro trimestre;1.0;primeiro semestre;1.0
2013-04-10;2013.0;abril;10.0;segundo trimestre;2.0;primeiro semestre;1.0
2013-04-19;2013.0;abril;19.0;segundo trimestre;2.0;primeiro semestre;1.0
2013-04-30;2013.0;abril;30.0;segundo trimestre;2.0;primeiro semestre;1.0
2013-04-12;2013.0;abril;12.0;segundo trimestre;2.0;primeiro semestre;1.0
2013-04-01;2013.0;abril;1.0;segundo trimestre;2.0;primeiro semestre;1.0
