COD_SUBFUNCAO;SUBFUNCAO
122;administracao geral
392;difusao cultural
752;energia eletrica
361;ensino fundamental
541;preservacao e conservacao ambiental
131;comunicacao social
123;administracao financeira
606;extensao rural
121;planejamento e orcamento
365;educacao infantil
91;defesa da ordem juridica
366;educacao de jovens e adultos
605;abastecimento
451;infra-estrutura urbana
306;alimentacao e nutricao
812;desporto comunitario
301;atencao basica
125;normatizacao e fiscalizacao
302;assistencia hospitalar e ambulatorial
303;suporte profilatico e terapeutico
813;lazer
244;assistencia comunitaria
243;assistencia a crianca a ao adolescente
512;saneamento basico urbano
271;previdencia basica
241;assistencia ao idoso
272;previdencia do regime estatutario
845;transferencias
601;promocao da producao vegetal
305;vigilancia epidemiologica
843;servico da divida interna
422;direitos individuais, colet. e difusos
124;controle interno
304;vigilancia sanitaria
695;turismo
367;educacao especial
362;ensino medio
62;def. interesse publ. no proc. judiciario
452;servicos urbanos
128;formacao de recursos humanos
608;promocao da producao agropecuaria
782;transporte rodoviario
368;educacao basica
544;recursos hidricos
691;promocao comercial
1;sem informacoes
