DATA;ANO;MES;DIA;TRIMESTRE;COD_TRIMESTRE;SEMESTRE;COD_SEMESTRE
2013-01-03;2013;janeiro;3;primeiro trimestre;1;primeiro semestre;1
2013-01-04;2013;janeiro;4;primeiro trimestre;1;primeiro semestre;1
2013-01-07;2013;janeiro;7;primeiro trimestre;1;primeiro semestre;1
2013-01-08;2013;janeiro;8;primeiro trimestre;1;primeiro semestre;1
2013-01-15;2013;janeiro;15;primeiro trimestre;1;primeiro semestre;1
2013-01-10;2013;janeiro;10;primeiro trimestre;1;primeiro semestre;1
2013-01-29;2013;janeiro;29;primeiro trimestre;1;primeiro semestre;1
2013-01-18;2013;janeiro;18;primeiro trimestre;1;primeiro semestre;1
2013-01-30;2013;janeiro;30;primeiro trimestre;1;primeiro semestre;1
2013-01-31;2013;janeiro;31;primeiro trimestre;1;primeiro semestre;1
2013-01-28;2013;janeiro;28;primeiro trimestre;1;primeiro semestre;1
2013-01-09;2013;janeiro;9;primeiro trimestre;1;primeiro semestre;1
2013-01-11;2013;janeiro;11;primeiro trimestre;1;primeiro semestre;1
2013-01-14;2013;janeiro;14;primeiro trimestre;1;primeiro semestre;1
2013-01-16;2013;janeiro;16;primeiro trimestre;1;primeiro semestre;1
2013-01-17;2013;janeiro;17;primeiro trimestre;1;primeiro semestre;1
2013-01-21;2013;janeiro;21;primeiro trimestre;1;primeiro semestre;1
2013-01-22;2013;janeiro;22;primeiro trimestre;1;primeiro semestre;1
2013-01-24;2013;janeiro;24;primeiro trimestre;1;primeiro semestre;1
2013-01-25;2013;janeiro;25;primeiro trimestre;1;primeiro semestre;1
2013-01-02;2013;janeiro;2;primeiro trimestre;1;primeiro semestre;1
2013-01-23;2013;janeiro;23;primeiro trimestre;1;primeiro semestre;1
2013-02-08;2013;fevereiro;8;primeiro trimestre;1;primeiro semestre;1
2013-02-20;2013;fevereiro;20;primeiro trimestre;1;primeiro semestre;1
2013-02-28;2013;fevereiro;28;primeiro trimestre;1;primeiro semestre;1
2013-02-04;2013;fevereiro;4;primeiro trimestre;1;primeiro semestre;1
2013-02-05;2013;fevereiro;5;primeiro trimestre;1;primeiro semestre;1
2013-02-06;2013;fevereiro;6;primeiro trimestre;1;primeiro semestre;1
2013-02-07;2013;fevereiro;7;primeiro trimestre;1;primeiro semestre;1
2013-02-13;2013;fevereiro;13;primeiro trimestre;1;primeiro semestre;1
2013-02-14;2013;fevereiro;14;primeiro trimestre;1;primeiro semestre;1
2013-02-15;2013;fevereiro;15;primeiro trimestre;1;primeiro semestre;1
2013-02-18;2013;fevereiro;18;primeiro trimestre;1;primeiro semestre;1
2013-02-19;2013;fevereiro;19;primeiro trimestre;1;primeiro semestre;1
2013-02-21;2013;fevereiro;21;primeiro trimestre;1;primeiro semestre;1
2013-02-25;2013;fevereiro;25;primeiro trimestre;1;primeiro semestre;1
2013-02-26;2013;fevereiro;26;primeiro trimestre;1;primeiro semestre;1
2013-02-01;2013;fevereiro;1;primeiro trimestre;1;primeiro semestre;1
2013-02-22;2013;fevereiro;22;primeiro trimestre;1;primeiro semestre;1
2013-02-27;2013;fevereiro;27;primeiro trimestre;1;primeiro semestre;1
2013-03-08;2013;março;8;primeiro trimestre;1;primeiro semestre;1
2013-03-20;2013;março;20;primeiro trimestre;1;primeiro semestre;1
2013-03-28;2013;março;28;primeiro trimestre;1;primeiro semestre;1
2013-03-31;2013;março;31;primeiro trimestre;1;primeiro semestre;1
2013-03-01;2013;março;1;primeiro trimestre;1;primeiro semestre;1
2013-03-04;2013;março;4;primeiro trimestre;1;primeiro semestre;1
2013-03-05;2013;março;5;primeiro trimestre;1;primeiro semestre;1
2013-03-06;2013;março;6;primeiro trimestre;1;primeiro semestre;1
2013-03-07;2013;março;7;primeiro trimestre;1;primeiro semestre;1
2013-03-11;2013;março;11;primeiro trimestre;1;primeiro semestre;1
2013-03-12;2013;março;12;primeiro trimestre;1;primeiro semestre;1
2013-03-13;2013;março;13;primeiro trimestre;1;primeiro semestre;1
2013-03-14;2013;março;14;primeiro trimestre;1;primeiro semestre;1
