NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2013;Cajazeiras;2503704;CENTRO EDUC DOM ZACARIAS - COLEGIO E CURSO;4;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;COLEGIO DIOCESANO PADRE ROLIM;4;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;COLEGIO NOSSA SRª DE LOURDES;4;1087;151;38;113;612;283;329
2013;Cajazeiras;2503704;COLEGIO NOSSA SRA DO CARMO LTDA;4;661;49;36;13;374;161;213
2013;Cajazeiras;2503704;COLEGIO ALTERNATIVO MASTER;4;47;22;0;22;25;25;0
2013;Cajazeiras;2503704;EEIFM ARCO IRIS;4;186;36;1;35;150;63;87
2013;Cajazeiras;2503704;EEEFM PROF MANOEL MANGUEIRA LIMA;2;621;0;0;0;315;0;315
2013;Cajazeiras;2503704;EEEFM PROFº CRISPIM COELHO;2;995;0;0;0;309;0;309
2013;Cajazeiras;2503704;EEEF DOM MOISES COELHO;2;889;0;0;0;778;157;621
2013;Cajazeiras;2503704;EEEF DESEMBARGADOR BOTO DE MENEZES;2;255;0;0;0;196;196;0
2013;Cajazeiras;2503704;EEEIEF JANDUY CARNEIRO;2;64;0;0;0;64;64;0
2013;Cajazeiras;2503704;EEEF CEL JOAQUIM MATOS;2;185;0;0;0;165;165;0
2013;Cajazeiras;2503704;EEEFM CRISTIANO CARTAXO;2;479;0;0;0;0;0;0
2013;Cajazeiras;2503704;EEEF JOAQUIM VICTOR JUREMA;2;214;0;0;0;157;157;0
2013;Cajazeiras;2503704;EEEF MONSENHOR JOAO MILANES;2;247;0;0;0;239;0;239
2013;Cajazeiras;2503704;EEEF SINHAZINHA RAMALHO;2;271;0;0;0;218;218;0
2013;Cajazeiras;2503704;EEEFM MONS CONSTANTINO VIEIRA;2;860;0;0;0;80;0;80
2013;Cajazeiras;2503704;EEEF DE FAZENDA SAO JOSE;2;74;0;0;0;26;26;0
2013;Cajazeiras;2503704;EEEF JOSE MANOEL DE ABREU;2;85;0;0;0;48;48;0
2013;Cajazeiras;2503704;EMEIEF ANTONIO DE SOUSA DIAS;3;528;38;0;38;490;211;279
2013;Cajazeiras;2503704;EMEIEF GABRIEL LUCINDO PEREIRA;3;46;9;0;9;37;37;0
2013;Cajazeiras;2503704;EMEIEF FRANCISCO ARCANJO DE ALBUQUERQUE;3;21;5;0;5;16;16;0
2013;Cajazeiras;2503704;EMEIEF TRAJANO BORGES;3;19;2;0;2;17;17;0
2013;Cajazeiras;2503704;EMEIEF ANIBAL GOMES DE SA;3;5;1;0;1;4;4;0
2013;Cajazeiras;2503704;EMEIEF AUGUSTO BERNARDINO DE SOUZA;3;171;30;0;30;141;87;54
2013;Cajazeiras;2503704;EMEIEF CAROLINO DE SOUSA NETO;3;205;20;0;20;185;82;103
2013;Cajazeiras;2503704;EMEIEF CECILIA ESTOLANO MEIRELES;3;460;52;0;52;392;197;195
2013;Cajazeiras;2503704;EMEIEF COSTA E SILVA;3;558;71;0;71;376;141;235
2013;Cajazeiras;2503704;EMEIEF JOSE DANIEL DE SOUSA;3;17;3;0;3;14;14;0
2013;Cajazeiras;2503704;EMEIEF DR PAULO PIRES FERREIRA;3;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;EMEIEF GALDINO PIRES FERREIRA;3;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;EMEIEF JOAO BATISTA DE ALBUQUERQUE;3;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;EMEIEF JOAO FRANCISCO DE SOUZA;3;21;8;0;8;13;13;0
2013;Cajazeiras;2503704;EMEIEF JOSE COSMO DE ABREU;3;18;9;0;9;9;9;0
2013;Cajazeiras;2503704;EMEIEF JOSE LEITE ROLIM;3;263;58;0;58;180;180;0
2013;Cajazeiras;2503704;EMEIEF JOSE MARTINS DE OLIVEIRA;3;222;31;0;31;191;104;87
2013;Cajazeiras;2503704;EMEIEF JOSE TEMOTEO DE CARVALHO;3;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;EMEIEF LUIZ CARTAXO ROLIM;3;290;47;0;47;220;94;126
2013;Cajazeiras;2503704;EMEIEF MANOEL GONCALVES DA SILVA;3;204;23;0;23;181;110;71
2013;Cajazeiras;2503704;EMEIEF MANOEL PEREIRA DA COSTA;3;17;4;0;4;13;13;0
2013;Cajazeiras;2503704;EMEIEF MATIAS DUARTE ROLIM;3;289;48;0;48;241;157;84
2013;Cajazeiras;2503704;EMEIEF CRISPIM COELHO;3;387;72;0;72;207;207;0
2013;Cajazeiras;2503704;EMEIEF VITAL ALVES DE FREITAS;3;21;2;0;2;19;19;0
2013;Cajazeiras;2503704;EMEIEF JOSE GUEDES ROLIM;3;0;0;0;0;0;0;0
